====================     2021-02-26    ====================8ff694f  Update android binder + ashmem + lowmemorykiller  [kimocoder]
73d2bed  Merge changes  [kimocoder]
====================     2021-02-25    ========================================     2021-02-24    ====================5d5eb0e  Merge some DTSI (dt-binding) updates/fixes  [kimocoder]
e8e63c5  Linux 3.18.140  [Greg Kroah-Hartman]
eefa1a7  powerpc/booke64: set RI in default MSR  [Laurentiu Tudor]
531e8f6  drivers/virt/fsl_hypervisor.c: prevent integer overflow in ioctl  [Dan Carpenter]
d9324aa  drivers/virt/fsl_hypervisor.c: dereferencing error pointers in ioctl  [Dan Carpenter]
5a60f26  bonding: fix arp_validate toggling in active-backup mode  [Jarod Wilson]
3dbb784  ipv4: Fix raw socket lookup for local traffic  [David Ahern]
22d41ef  vlan: disable SIOCSHWTSTAMP in container  [Hangbin Liu]
57174c2  packet: Fix error path in packet_init  [YueHaibing]
7008cfd  net: ucc_geth - fix Oops when changing number of buffers in the ring  [Christophe Leroy]
2e96dea9  bridge: Fix error path for kobject_init_and_add()  [Tobin C. Harding]
f0b4360  USB: serial: fix unthrottle races  [Johan Hovold]
7b263c4  USB: serial: use variable for status  [Oliver Neukum]
5bfc93bd  Don't jump to compute_result state from check_result state  [Nigel Croxon]
9cf3290  gpu: ipu-v3: dp: fix CSC handling  [Lucas Stach]
4d4fa8e  selftests/net: correct the return value for run_netsocktests  [Po-Hsu Lin]
b71c438  s390: ctcm: fix ctcm_new_device error return code  [Arnd Bergmann]
1706a49  init: initialize jump labels before command line option parsing  [Dan Williams]
7732b62  tools lib traceevent: Fix missing equality check for strcmp  [Rikard Falkeborn]
4b3558a  KVM: x86: avoid misreporting level-triggered irqs as edge-triggered in tracing  [Vitaly Kuznetsov]
0edbdd2  s390/3270: fix lockdep false positive on view->lock  [Martin Schwidefsky]
41b3711  s390/dasd: Fix capacity calculation for large volumes  [Peter Oberparleiter]
25e0876  HID: input: add mapping for keyboard Brightness Up/Down/Toggle keys  [Dmitry Torokhov]
280b5f2  iio: adc: xilinx: fix potential use-after-free on remove  [Sven Van Asbroeck]
a73c94a  platform/x86: sony-laptop: Fix unintentional fall-through  [Gustavo A. R. Silva]
a3c7a25  netfilter: compat: initialize all fields in xt_init  [Francesco Ruggeri]
4e6bcd5  timer/debug: Change /proc/timer_stats from 0644 to 0600  [Ben Hutchings]
4885449  Bluetooth: Align minimum encryption key size for LE and BR/EDR connections  [Marcel Holtmann]
08e49ac  Bluetooth: hidp: fix buffer overflow  [Young Xiao]
d042406  scsi: qla2xxx: Fix incorrect region-size setting in optrom SYSFS routines  [Andrew Vasquez]
eac2815  genirq: Prevent use-after-free and work list corruption  [Prasad Sodagudi]
ac847b0  iommu/amd: Set exclusion range correctly  [Joerg Roedel]
a4956b2  scsi: csiostor: fix missing data copy in csio_scsi_err_handler()  [Varun Prakash]
4a3fdf1  ASoC: tlv320aic32x4: Fix Common Pins  [Annaliese McDermond]
bddc5cf  ASoC: cs4270: Set auto-increment bit for register writes  [Daniel Mack]
8413212  ASoC:soc-pcm:fix a codec fixup issue in TDM case  [Rander Wang]
845de90  scsi: libsas: fix a race condition when smp task timeout  [Jason Yan]
482c5dc  media: v4l2: i2c: ov7670: Fix PLL bypass register values  [Jacopo Mondi]
2575637  staging: iio: adt7316: fix the dac write calculation  [Jeremy Fertic]
1cb9252  staging: iio: adt7316: fix the dac read calculation  [Jeremy Fertic]
4171320  staging: iio: adt7316: allow adt751x to use internal vref for all dacs  [Jeremy Fertic]
085ab0c  usb: usbip: fix isoc packet num validation in get_pipe  [Malte Leip]
b931d5e  ARM: iop: don't use using 64-bit DMA masks  [Arnd Bergmann]
b6bdb34  ARM: orion: don't use using 64-bit DMA masks  [Arnd Bergmann]
